Marca,Producto,Precio_COP,Calificacion,Tienda
ASUS,"PORTATIL LENOVO IDEAPAD SLIM 3 15AMN8 	RYZEN AI 3 30 - RAM 16GB - SSD 512GB - 15.6"" FHD",,,Falabella
HP,PORTATIL INTEL CORE I5 1235U - RAM 8GB DDR4 - SSD 512GB M2 - 156 - FULL HD - IRIS XE GRAPHICS,,,Falabella
ASUS,PortÃ¡til M1502YA Ryzen 7 5825U 16GB 512GB VivoBook 15,,,Falabella
HP,"VICTUS AMD RYZEN 7-7445HS RTX 3050 6GB SSD 512GB RAM 16GB LED 15,6"" FHD 144Hz",,,Falabella
LENOVO,Gaming LOQ - Intel Core i5 - RTX 3050 6GB - 16GB RAM - 512GB SSD - 15.6â FHD + GAME PASS,,,Falabella
LENOVO,PORTATIL GAMER LOQ 15AHP10 - RYZEN 7 250 -RAM 16GB - SSD 512GB - RTX 5060 8GB,,,Falabella
HP,"PortÃ¡til AMD Ryzen 7 7730U 16GB RAM 512GB SSD 15.6"" FHD",,,Falabella
LENOVO,PortÃ¡til V14 14 FHD Intel Core i5-13420H 24GB 512GB SSD Gris,,,Falabella
HP,PORTATIL INTEL CORE I5 1235U / RAM 16GB DDR4 / SSD 512GB / 15.6 HD,,,Falabella
HP,PORTATIL INTEL CORE I5-1235U SSD 1TB RAM 32GB LED 15.6 HD,,,Falabella
ASUS,PortÃ¡til E1504FA-BQ2567 Ryzen 5-7520U 16GB 1TB 15.6 FHD Silver + Diadema Jedel,,,Falabella
ASUS,PORTATIL AMD RYZEN 9 270 SSD 512GB RAM 32GB LED 16 FULL HD,,,Falabella
ASUS,"PORTATIL VIVOBOOK AMD RYZEN 7-5825U RAM 24GB SSD 1TB 15,6 FHD",,,Falabella
HP,"PORTATIL AMD RYZEN 7-7730U SSD 1TB RAM 40GB LED 15,6 FULL HD",,,Falabella
HP,PORTATIL INTEL CORE I5 1235U / RAM 16GB DDR4 / SSD 1TB / 15.6 HD,,,Falabella
LENOVO,"PortÃ¡til Gamer LegiÃ³n 5 - I7 14700HX ram 32GB SSD 1TB M.2 RTX 5060 8GB 15"" 2K OLED 165Hz",,,Falabella
